alpha,beta,chain
-0.19141752,0.15349436,chain_0
-0.20956843,0.17311521,chain_0
-0.19891858,0.1518838,chain_0
-0.21708798,0.18582517,chain_0
-0.20605555,0.17625055,chain_0
-0.22071795,0.20027535,chain_0
-0.22237828,0.19768107,chain_0
-0.21274178,0.20084177,chain_0
-0.22675726,0.19502467,chain_0
-0.23408814,0.1737474,chain_0
-0.2165469,0.180727,chain_0
-0.21990205,0.18679987,chain_0
-0.23075783,0.19451104,chain_0
-0.21299015,0.1871418,chain_0
-0.21455851,0.17526814,chain_0
-0.21623433,0.17781392,chain_0
-0.2242689,0.19959192,chain_0
-0.19518422,0.19814798,chain_0
-0.2141907,0.16498634,chain_0
-0.17804824,0.16457234,chain_0
-0.20532551,0.18692863,chain_0
-0.20769273,0.15800339,chain_0
-0.21926245,0.20676377,chain_0
-0.19815189,0.1542992,chain_0
-0.21291776,0.1821532,chain_0
-0.21864502,0.15636156,chain_0
-0.22412945,0.17395803,chain_0
-0.23638272,0.20106383,chain_0
-0.23720564,0.19114417,chain_0
-0.23537336,0.22132666,chain_0
-0.19881573,0.15882942,chain_0
-0.21199012,0.15922232,chain_0
-0.21078461,0.16092306,chain_0
-0.20379311,0.18920672,chain_0
-0.23265985,0.17853557,chain_0
-0.21218804,0.19625497,chain_0
-0.2130746,0.1793456,chain_0
-0.21095225,0.15419354,chain_0
-0.22791566,0.18026693,chain_0
-0.21125197,0.17556812,chain_0
-0.20480588,0.18822879,chain_0
-0.23093766,0.20707145,chain_0
-0.18234132,0.14316972,chain_0
-0.23026927,0.20271686,chain_0
-0.2079565,0.16140151,chain_0
-0.22729713,0.19160043,chain_0
-0.21225157,0.17848714,chain_0
-0.23057233,0.17070043,chain_0
-0.24561128,0.1981572,chain_0
-0.21721464,0.18250664,chain_0
-0.18586071,0.18590936,chain_0
-0.19294901,0.1816701,chain_0
-0.22654453,0.18104716,chain_0
-0.21699165,0.19035453,chain_0
-0.22426337,0.17129627,chain_0
-0.20031953,0.16664632,chain_0
-0.24566208,0.18782255,chain_0
-0.19455992,0.18018207,chain_0
-0.23469208,0.20401661,chain_0
-0.19778234,0.16960199,chain_0
-0.24795443,0.19681545,chain_0
-0.23774862,0.18257836,chain_0
-0.19319384,0.19141747,chain_0
-0.20871352,0.18636847,chain_0
-0.22381249,0.18879263,chain_0
-0.2269167,0.16230766,chain_0
-0.18535163,0.16744749,chain_0
-0.20171064,0.1557759,chain_0
-0.22188987,0.1560775,chain_0
-0.22844623,0.1792688,chain_0
-0.21213,0.17298226,chain_0
-0.22898656,0.17778157,chain_0
-0.2108142,0.19467103,chain_0
-0.22009373,0.16394289,chain_0
-0.19889656,0.18229555,chain_0
-0.24008499,0.1964449,chain_0
-0.2228313,0.21258375,chain_0
-0.2131919,0.18077484,chain_0
